XM,SXZY,HDHD,CSD
1,1,178,3093
2,1,1108,21
3,1,1374,363
4,2,129,2393
5,2,1720,240
6,2,1983,431
7,2,2606,1385
8,3,1049,2935
9,3,1656,2789
10,4,48,838
11,4,119,1774
12,5,1764,275
13,5,2582,3307
14,6,59,122
15,6,768,2605
16,6,2369,1670
17,7,396,1524
18,7,1343,3240
19,8,356,547
20,8,625,2405
21,8,1085,1735
22,8,1272,1000
23,9,780,710
24,9,1001,142
25,9,1297,1536
26,9,1650,1649
27,9,1707,712
28,10,220,478
29,10,371,3680
30,10,2070,1743
31,10,2421,1080
32,11,2507,1473
33,12,20,2295
34,12,1650,3029
35,13,413,158
36,13,838,3127
37,13,1939,919
38,14,680,830
39,14,711,1087
40,14,802,195
41,14,1718,907
42,14,2213,1878
43,15,1349,165
44,15,1388,2632
45,15,1416,954
46,15,1826,11
47,15,1924,1255
48,15,2072,1483
49,15,2196,1300
50,16,1397,3164
51,16,1919,710
52,16,2269,3291
53,16,2280,517
54,17,125,392
55,17,1367,2173
56,18,310,1958
57,18,1801,1273
58,18,2244,3184
59,19,1147,3378
60,19,1863,32
61,19,2278,896
62,19,2509,175
63,19,2582,2539
64,20,32,950
65,20,1039,2533
66,20,1293,3250
67,21,897,1058
68,21,989,2462
69,21,1219,3636
70,22,283,1634
71,22,1147,2287
72,22,1530,591
73,22,2265,21
74,23,357,1171
75,23,1067,1857
76,24,111,2277
77,24,1224,1932
78,24,1234,322
79,24,1311,1032
80,24,2358,1316
81,25,1129,1139
82,25,2100,2313
83,25,2110,1351
84,26,977,1652
85,26,1099,73
86,26,1237,2304
87,26,2328,659
88,27,1077,2539
89,27,1729,2729
90,27,2205,376
91,27,2436,619
92,28,243,31
93,28,2028,1634
94,28,2415,531
95,28,2473,1454
96,29,15,3657
97,29,2290,3587
98,29,2523,152
99,30,1452,1524
100,30,2220,2255
101,31,632,652
102,31,2398,1521
103,32,1276,2316
104,32,1374,49
105,32,1601,2783
106,32,1713,138
107,32,1740,1061
108,32,2277,238
109,32,2397,3035
110,33,794,1480
111,33,814,885
112,33,1331,3672
113,33,2577,2553
114,34,814,1639
115,34,1782,1151
116,34,2398,124
117,34,2462,2456
118,35,2,2864
119,35,924,1397
120,35,958,1202
121,35,1825,1895
122,35,2080,1027
123,35,2296,1444
124,35,2546,1247
125,35,2598,3403
126,36,1848,1268
127,36,2378,1975
128,37,800,1173
129,37,1022,3070
130,37,2399,1129
131,38,794,130
132,38,2167,649
133,38,2398,2974
134,39,121,1816
135,39,312,2451
136,39,313,3040
137,39,357,171
138,39,537,2678
139,39,689,124
140,39,1302,1859
141,39,1453,1629
142,39,1602,2721
143,39,1694,2485
